Prime#,Prime Reciprocal,Pattern Length
6827,0.00014647722279185587,3413
6829,0.0001464343242055938,6828
6833,0.00014634860237084735,6832
6841,0.000146177459435755,855
6857,0.00014583637159107482,6856
6863,0.00014570887367040654,6862
6869,0.00014558159848595138,6868
6871,0.00014553922282055013,3435
6883,0.0001452854859799506,3441
6899,0.00014494854326714017,6898
6907,0.00014478065730418415,1151
6911,0.0001446968600781363,3455
6917,0.00014457134595923088,3458
6947,0.00014394702749388226,3473
6949,0.0001439055979277594,6948
6959,0.00014369880729989942,3479
6961,0.00014365752047119666,3480
6967,0.00014353380221042057,6966
6971,0.00014345144168698896,6970
6977,0.00014332807797047442,6976
6983,0.00014320492624946297,6982
6991,0.00014304105278214847,3495
6997,0.00014291839359725596,1749
7001,0.00014283673760891302,1750
7013,0.00014259232853272493,3506
7019,0.00014247043738424277,7018
7027,0.00014230823964707557,1171
7039,0.00014206563432305724,391
7043,0.0001419849495953429,503
7057,0.00014170327334561429,7056
